company_name,lead_lane,portfolio_type,state,city,website,business_phone,named_contact,contact_title,employee_estimate,reason_qualified,distress_signal,financing_signal,source_url,notes,private_company_confirmed,public_company_confirmed,trustee_related
Coastal Debt Recovery,charged_off,charged_off_consumer,FL,Jacksonville,https://coastaldebtrecovery.com,904-555-0321,Maria Santos,VP of Purchasing,28,Buying charged-off credit card portfolios from community banks,,,,Regional charged-off buyer with strong pipeline,true,false,false
Granite State Collections,charged_off,charged_off_auto,NH,Manchester,https://granitecollections.com,603-555-0199,,,14,Purchases charged-off auto loan accounts from credit unions,,,https://example.com/granite,Mid-size New England buyer,true,false,false
Delta Portfolio Group,charged_off,charged_off_medical,PA,Philadelphia,https://deltaportfolio.com,215-555-0887,Kevin O'Brien,Dir of Acquisitions,32,Major buyer of charged-off medical receivables,,,https://example.com/delta,PA — should be excluded by lane rule,true,false,false
Southeast Restructuring LLC,bankruptcy,bankruptcy_ch11,GA,Atlanta,https://southeastrestructuring.com,404-555-0553,Rebecca Turner,SVP,42,Acquires distressed assets from Chapter 11 proceedings in Southeast region,Active Chapter 11 asset buyer,,https://example.com/southeast,Top bankruptcy buyer in SE region,true,false,false
Rocky Mountain BK Partners,bankruptcy,bankruptcy_ch7,CO,Denver,https://rockymtnbk.com,720-555-0411,,,22,Purchases Chapter 7 liquidation claims and surplus assets,Expanding liquidation claim purchases,,https://example.com/rockymtn,Growing BK buyer,true,false,false
National Debt Exchange Inc,bankruptcy,bankruptcy_ch11,NY,New York,https://nationaldebtexchange.com,212-555-0800,John Park,CEO,5200,Large-scale bankruptcy claim trading — NYSE listed,,,https://example.com/nde,Publicly traded on NYSE — should be excluded,false,true,false
Prairie Loan Portfolios,performing,performing_consumer,KS,Wichita,https://prairieloans.com,316-555-0745,Tom Bradley,Mgr,18,Buys performing consumer loan pools from Kansas community banks,,,https://example.com/prairie,Solid regional performing buyer,true,false,false
Pacific Rim Performing,performing,performing_auto,CA,Los Angeles,https://pacificrimperforming.com,310-555-0612,Jennifer Wu,CIO,38,Acquiring performing auto loan portfolios from West Coast lenders,,,https://example.com/pacificrim,West Coast performing specialist,true,false,false
Heartland Bridge Capital,capital_seeking,bridge_loan,NE,Omaha,https://heartlandbridge.com,402-555-0233,Steve Kowalski,CFO,25,Seeking $3M bridge loan for acquisition of regional distribution center,,Active bridge loan search $3M target,https://example.com/heartland,Clear bridge loan need with defined use,true,false,false
Tundra Supply Chain,capital_seeking,working_capital,AK,Anchorage,https://tundrasupply.com,907-555-0144,Amy Chen,VP of Finance,30,Needs working capital line for seasonal inventory build,,Seasonal working capital need,https://example.com/tundra,AK — should be excluded for capital_seeking lane,true,false,false
Gulf Coast Inventory Finance,capital_seeking,inventory_financing,LA,New Orleans,https://gulfcoastfinance.com,504-555-0877,,,45,Seeking inventory financing to support expansion into new markets,,Inventory financing for market expansion,https://example.com/gulfcoast,Strong financing need,true,false,false
Blank Phone Corp,bankruptcy,bankruptcy_ch7,MI,Detroit,https://blankphone.com,,Dan Ross,Director,15,Interested in acquiring bankruptcy assets,,,https://example.com/blankphone,Missing phone — should be weak,true,false,false
Court Appointed Trustees LLC,bankruptcy,bankruptcy_ch7,NJ,Newark,https://courttrustees.com,973-555-0222,William Harris,Trustee,6,Court-appointed Chapter 7 trustee handling liquidations,,,https://example.com/courttrustees,Trustee — should be excluded,true,false,true
